City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Vanimo,PG,2021-02-03 06:27:14,-2.6741,141.3028,81.61,82,93,12.86
223,Brae,GB,2021-02-03 06:27:30,60.3964,-1.353,37.4,75,75,20.71
224,Berlevag,NO,2021-02-03 06:27:49,70.8578,29.0864,26.6,63,75,25.32
225,Silver City,US,2021-02-03 06:28:52,32.7701,-108.2803,46.99,65,1,9.22
226,Axim,GH,2021-02-03 06:27:36,4.8699,-2.2405,77.74,88,0,4.14
227,Rudsar,IR,2021-02-03 06:28:52,37.1376,50.288,48.2,87,75,2.3
228,Thompson,CA,2021-02-03 06:26:21,55.7435,-97.8558,15.8,92,90,6.91
229,Qasigiannguit,GL,2021-02-03 06:28:52,68.8193,-51.1922,-5.8,59,0,21.85
230,Alencon,FR,2021-02-03 06:27:15,48.4333,0.0833,53.6,87,75,9.22
231,Puerto Escondido,MX,2021-02-03 06:28:52,15.85,-97.0667,75.0,63,0,4.99
232,Gadwal,IN,2021-02-03 06:28:52,16.2333,77.8,83.64,26,5,8.59
233,Veraval,IN,2021-02-03 06:28:53,20.9,70.3667,82.2,32,9,6.96
234,Marystown,CA,2021-02-03 06:28:53,47.1666,-55.1483,31.84,95,100,30.87
235,Gubkinskiy,RU,2021-02-03 06:28:53,64.434,76.5026,8.96,95,99,6.98
236,Hualmay,PE,2021-02-03 06:26:24,-11.0964,-77.6139,68.86,79,86,5.3
237,Fort Wellington,GY,2021-02-03 06:28:53,6.4,-57.6,76.44,89,78,8.46
238,Guaruja,BR,2021-02-03 06:28:53,-23.9931,-46.2564,82.0,26,69,1.95
239,Ponta Do Sol,PT,2021-02-03 06:26:16,32.6667,-17.1,60.01,79,43,1.99
240,Alyangula,AU,2021-02-03 06:27:43,-13.8483,136.4192,91.4,66,69,4.61
241,Maceio,BR,2021-02-03 06:28:53,-9.6658,-35.7353,71.6,100,40,3.44
242,Chillicothe,US,2021-02-03 06:28:54,39.3331,-82.9824,25.0,68,1,17.27
243,Fairbanks,US,2021-02-03 06:24:34,64.8378,-147.7164,-18.4,76,1,3.44
244,Vila Franca Do Campo,PT,2021-02-03 06:26:43,37.7167,-25.4333,55.4,71,40,26.46
245,Coquimbo,CL,2021-02-03 06:26:14,-29.9533,-71.3436,57.2,82,0,8.05
