City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Lorengau,PG,-2.0226,147.2712,81.81,81,97,8.75,overcast clouds
336,Gushikawa,JP,26.3544,127.8686,62.6,63,20,7.25,few clouds
337,Laguna,US,38.421,-121.4238,42.01,93,1,4.88,mist
338,Daugavpils,LV,55.8833,26.5333,6.37,93,0,4.45,clear sky
339,Beyneu,KZ,45.3167,55.2,32.76,95,100,14.7,overcast clouds
340,Vredendal,ZA,-31.6683,18.5012,75.47,41,11,25.52,few clouds
341,Dobson,US,36.3957,-80.7226,39.99,93,40,10.58,scattered clouds
342,Opuwo,NA,-18.0607,13.84,92.07,17,99,16.93,overcast clouds
343,Koster,ZA,-25.863,26.8976,66.9,82,40,5.99,moderate rain
344,Grand-Bourg,GP,15.8835,-61.3148,82.4,54,20,17.27,few clouds
345,Camacha,PT,33.0833,-16.3333,62.6,82,40,14.97,scattered clouds
346,Sucua,EC,-2.4667,-78.1667,75.2,64,20,2.3,light rain
347,Bathsheba,BB,13.2167,-59.5167,84.2,58,40,23.02,scattered clouds
